index,backdrop_path,overview,poster_path,original_language,vote_average,origin_country,parentTconst,title_series,genres,startYear,genres_,voisin1,voisin2,voisin3,voisin4
68,/17yvu1IGd1sTLugw2yXO1i2R3cT.jpg,"Following the case of the murder of a professor at South Korea's top prestigious law school, professors and students become suspects in the murder.",/52LCQBgB9Lu0djjIU24p6YI5sQk.jpg,ko,7.7,['KR'],tt13885336,Law School,Drama,2021.0,0,Kazara Ask,Law School,Minuit au Pera Palace,Bad Romeo
70,/8FKn2nxbWWRC8S4Y5CuBOICyZJy.jpg,"Forced to flee her underground sanctuary for Earth’s surface, Eva discovers a world unlike anything she expected. As she journeys across perilous terrain and unknown civilizations, Eva searches to answer the ultimate question: Is she the last human?",/8kkrmc41lTk6eT2osAMzd4W0cSI.jpg,en,7.523,['US'],tt14076044,The Search for WondLa,Sci-Fi & Fantasy,2024.0,8,The Search for WondLa,Parasyte: The Grey,The Time Traveler's Wife,The School Nurse Files
71,/lJVtcLeH2PHKwC3V4V31F00ooQw.jpg,A group of police officers in Paris use violence and intimidation to solve crimes.,/uZNrgZq8XAixiel5enJm0HpGJAC.jpg,fr,7.1,['FR'],tt1429534,Braquo,Action & Adventure,2009.0,1,Braquo,Rosario Tijeras,"Pigalle, la nuit",A.D. La guerre de l'ombre
73,/xrUzqxyGEgXDSreNT7iup8gMU01.jpg,Gordon Rogers attempts to save an unraveling secret mission that threatens to reveal an unthinkable conspiracy.,/jvW0eWMavb2DyP6K2huGlSui8RE.jpg,en,9.4,['US'],tt14597282,The Green Veil,Drama,2024.0,0,The Green Veil,Cherry Magic,Veda Mektubu,Al Atawla
74,/cAKsvmqRRYdn7AM78ywyVqEfcdX.jpg,"Maleki is one of the managers of a successful company run by Rizabadi. Rizabadi instructs him to negotiate a major oil deal with the Norwegians. After signing the contract, the Norwegians want to transfer the contract amount, which is several million dollars to the company's account.",/vEMDGbRvB4opkOJXLSWHUVE0u6c.jpg,fa,8.2,['IR'],tt14781024,Mortal Wound,Drama,2021.0,0,Mortal Wound,Zakhm Kari,Record of Youth,The First Responders
75,/cAKsvmqRRYdn7AM78ywyVqEfcdX.jpg,"Maleki is one of the managers of a successful company run by Rizabadi. Rizabadi instructs him to negotiate a major oil deal with the Norwegians. After signing the contract, the Norwegians want to transfer the contract amount, which is several million dollars to the company's account.",/vEMDGbRvB4opkOJXLSWHUVE0u6c.jpg,fa,8.2,['IR'],tt14781024,Zakhm Kari,Drama,2021.0,0,Mortal Wound,Zakhm Kari,Record of Youth,The First Responders
76,/bebZzFw1mBzF9UwCO3ocW0PIIby.jpg,"A family moves into their suburban dream home, only to discover they've inherited a nightmare.",/6RrseODZo2e66XOzC1XMzMuecnf.jpg,en,7.187,['US'],tt14852808,The Watcher,Drama,2022.0,0,The Watcher,Bardot,Brigitte Bardot,Lidia fait sa loi
77,/84Z6N0ljUXzOFpyLSOfMUSIj36v.jpg,"The story of a working-class, old-school Latino father who moves in with his modern Gen Z daughter as they rebuild their dysfunctional relationship one argument at a time.",/b9Wi3P36R1p4QV0vyBSIvoQ8qNH.jpg,en,7.133,['US'],tt14852960,Lopez contre Lopez,Comedy,2022.0,5,Lopez contre Lopez,Last One Standing,Dreamland,Love in Translation
78,/B3DBxwIB4lpxCR20cz3XzUwQk8.jpg,Two Boys Making Videos,/3vS0Jf7iZrxEFwwaBvrZRMoXoHe.jpg,en,7.0,['US'],tt1500910,Smosh,Comedy,2005.0,5,Smosh,Little Britain,Mystère,Détectives
79,/aLC4Uh8v2VRmT1cRfNspFHp6OFj.jpg,"This psychological thriller follows two Navajo police officers, Leaphorn and Chee, in the 1970s Southwest as their search for clues in a grisly double murder case forces them to challenge their own spiritual beliefs and come to terms with the trauma of their pasts.",/yXqengcZnjoWJlns0Guv9Svg7nv.jpg,en,7.5,['US'],tt15017118,Dark Winds,Crime,2022.0,2,Dark Winds,Hors-saison,Hors-Saison: Une enquêtrice prise au piège,NCIS: Origins
